Property Address,Property Name,PropertyType,Building Status,Submarket Cluster,Submarket Name,City,State,Zip,County Name,Year Built,Number Of Stories,Year Renovated,Number Of Parking Spaces,Parking Ratio,RBA,Max Building Contiguous Space,Smallest Available Space,Total Available Space (SF),Direct Available Space,Direct Vacant Space,Sublet Available Space,Average Weighted Rent,Percent Leased,Office Space,Building Tax Expenses,Building Operating Expenses,Sublet Services,Direct Services,Leasing Company Name,Leasing Company City State Zip,Leasing Company Phone,Leasing Company Fax,Primary Agent Name,Property Manager Name,Developer Name,Owner Name,Features,Power,Ceiling Ht,Number Of Loading Docks,Drive Ins,Column Spacing,Sprinklers,Number Of Cranes,Construction Material,Rail Lines,Heating,Sewer,Water,Gas,PropertyID,Avg Rent-Direct (Industrial),Avg Rent-Sublet (Industrial),Building Park,Land Area (AC),Latitude,Longitude,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Phone,Recorded Owner Address,Recorded Owner City State Zip,Recorded Owner Contact,Recorded Owner Name,Recorded Owner Phone,Rent Type,Rent/SF/Yr,Sale Company Address,Sale Company City State Zip,Sale Company Contact,Sale Company Fax,Sale Company Name,Sale Company Phone,Sales Company,Sales Contact,Sales Contact Phone,True Owner Address,True Owner City State Zip,True Owner Contact,True Owner Name,True Owner Phone,Zoning,Anchor Tenants,Building Class,Fema Flood Zone,Flood Risk Area,Floodplain Area,For Sale Price,Fund Name,Last Sale Date,Last Sale Price,Leasing Company Address,Leasing Company Contact,Star Rating,Tax Year,Taxes Per SF,Taxes Total,Tenancy,Total Buildings
507 Schrock Rd,,Industrial,Existing,Northeast,Worthington,Columbus,OH,43229-1081,Franklin,1978,1,,10,1.43,7000,,,,,0,,-,100,700,2021 Tax @ $1.98/sf,2021 Tax @ $1.98/sf,,,,,,,,,,W J Hoffman,,,"18'0""",,"2/9'0""w x 14'0""h",,,,Metal,,,,,,496113,,,,1.8,40.100991,-83.000719,829 Bunty Station Rd,"Delaware, OH 43015-9359",,,,,,,829 Bunty Station Rd,"Delaware, OH 43015-9359",,W J Hoffman,,,$7.37 - 9.01 (Est.),,,,,,,,,,829 Bunty Station Rd,"Delaware, OH 43015-9359",,W J Hoffman,,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,2/24/11 0:00,246700,,,1,2021,1.98,13836.08,Multi,
4756 Scioto Darby Rd,,Industrial,Existing,Northwest,Hilliard,Hilliard,OH,43026,Franklin,1958,1,,16,2.14,7464,,,,,0,,-,100,,,,,,,,,,,,,Melinda L Wood,Fenced Lot,,,,None,,,,Wood Frame,,,,,,6439413,,,,2.829982,40.0200258,-83.1410102,1090 Circle On The Grn,"Columbus, OH 43235",Melinda Wood,6148471437,,,,,,,,City Of Hilliard,,,$7.46 - 9.11 (Est.),,,,,,,,,,1090 Circle On The Grn,"Columbus, OH 43235",Melinda Wood,Melinda L Wood,6148471437,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,1,,,,Single,
4974 Scioto Darby Rd,,Industrial,Existing,Northwest,Hilliard,Hilliard,OH,43026,Franklin,1980,1,,40,4.83,8288,,,,,0,,-,100,,2021 Tax @ $2.27/sf,2021 Tax @ $2.27/sf,,,Don Morlan,"Columbus, OH 43235    ",6142199617,,Don Morlan,,,Don Morlan,,,,,"7/9'0""w x 12'0""h",,,,Metal,,,,,,6439421,,,,1.059986,40.023547,-83.146678,6625 Mcvey Blvd,"Columbus, OH 43235    ",Don Morlan,6143952782,,,,,6625 Mcvey Blvd,"Columbus, OH 43235    ",,Morlan Donald D & Anita L,6148895989,,$8.67 - 10.59 (Est.),,,,,,,,,,6625 Mcvey Blvd,"Columbus, OH 43235    ",Don Morlan,Don Morlan,6143952782,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,6625 Mcvey Blvd,Don Morlan,2,2021,2.27,18807.08,Multi,
3040 Scioto Darby Executive Ct,,Industrial,Existing,Northwest,Hilliard,Hilliard,OH,43026,Franklin,1996,1,,10,1.51,7200,,,,,0,,-,100,,2021 Tax @ $1.91/sf,2021 Tax @ $1.91/sf,,,Best Corporate Real Estate,"Columbus, OH 43220    ",6145593350,6145593390,James Mangas,,,"Scott Rettich Leasing, LLC",,,,,"2/9'0""w x 13'0""h",,,,Masonry,,,,,,7515319,,,,0.46,40.016002,-83.115656,1958 Barnetts Mill Rd,"Camden, OH 45311-8831",,,,,,,1958 Barnetts Mill Rd,"Camden, OH 45311-8831",,"Scott Rettich Leasing, LLC",,,$7.39 - 9.04 (Est.),,,,,,,,,,,,,,,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,5/19/16 0:00,,4608 Sawmill Rd,James Mangas,2,2021,1.91,13763.92,Single,1
3051 Scioto Darby Executive Ct,,Industrial,Existing,Northwest,Hilliard,Hilliard,OH,43026,Franklin,1996,1,,12,1.66,7245,,,,,0,,-,100,,2021 Tax @ $7.04/sf,2021 Tax @ $7.04/sf,,,,,,,,,,Brooke Berlin,,,,,"8/9'0""w x 14'0""h",,,,Masonry,,,,,,7515329,,,,3.637,40.0154867,-83.1180974,3620 N High St,"Columbus, OH 43214-3611",Brooke Berlin,6142632200,,,,,3636 N High St,"Columbus, OH 43214-3652",,Mgmtplus Ltd,,,$7.51 - 9.18 (Est.),,,,,,,,,,3620 N High St,"Columbus, OH 43214-3611",Brooke Berlin,Brooke Berlin,6142632200,,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,1,2021,7.04,50974.8,Multi,
3057 Scioto Darby Executive Ct,,Industrial,Existing,Northwest,Hilliard,Hilliard,OH,43026,Franklin,1996,1,,12,1.76,6812,,,,,0,,-,100,,2021 Tax @ $7.48/sf,2021 Tax @ $7.48/sf,,,,,,,,,,Brooke Berlin,,,,,"8/9'0""w x 14'0""h",,,,Masonry,,,,,,7515324,,,,3.637,40.0153881,-83.118938,3620 N High St,"Columbus, OH 43214-3611",Brooke Berlin,6142632200,,,,,3636 N High St,"Columbus, OH 43214-3652",,Mgmtplus Ltd,,,$7.52 - 9.19 (Est.),,,,,,,,,,3620 N High St,"Columbus, OH 43214-3611",Brooke Berlin,Brooke Berlin,6142632200,,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,1,2021,7.48,50974.8,Multi,
3063 Scioto Darby Executive Ct,,Industrial,Existing,Northwest,Hilliard,Hilliard,OH,43026,Franklin,1996,1,,10,1.47,6808,,,,,0,,-,100,,2021 Tax @ $7.49/sf,2021 Tax @ $7.49/sf,,,,,,,,,,Brooke Berlin,,,,,"7/9'0""w x 14'0""h",,,,Masonry,,,,,,7515323,,,,3.637,40.0156722,-83.1189383,3620 N High St,"Columbus, OH 43214-3611",Brooke Berlin,6142632200,,,,,3636 N High St,"Columbus, OH 43214-3652",,Mgmtplus Ltd,,,$7.52 - 9.19 (Est.),,,,,,,,,,3620 N High St,"Columbus, OH 43214-3611",Brooke Berlin,Brooke Berlin,6142632200,,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,1,2021,7.49,50974.8,Multi,
3069 Scioto Darby Executive Ct,,Industrial,Existing,Northwest,Hilliard,Hilliard,OH,43026,Franklin,1996,1,,14,1.87,7477,,,,,0,,-,100,,2021 Tax @ $6.82/sf,2021 Tax @ $6.82/sf,,,,,,,,,,Brooke Berlin,,,,,"8/9'0""w x 14'0""h",,,,Masonry,,,,,,7515331,,,,3.637,40.015757,-83.1181522,3620 N High St,"Columbus, OH 43214-3611",Brooke Berlin,6142632200,,,,,3636 N High St,"Columbus, OH 43214-3652",,Mgmtplus Ltd,,,$7.51 - 9.18 (Est.),,,,,,,,,,3620 N High St,"Columbus, OH 43214-3611",Brooke Berlin,Brooke Berlin,6142632200,,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,1,2021,6.82,50974.8,Multi,
2291-2295 Scioto Harper,2295 Scioto Harper,Industrial,Existing,Northwest,Downtown West,Columbus,OH,43204,Franklin,1965,1,,18,2.25,8000,,,,,0,,-,100,,2021 Tax @ $5.00/sf,2021 Tax @ $5.00/sf,,,,,,,,,,Danis Realty Company Inc.,"Fenced Lot, Security System, Signage",,"14'0""",,"1/10'0""w x 10'0""h",,None,,Masonry,,,,,,495478,,,,2.5,39.966411,-83.063485,1654 E Broad St,"Columbus, OH 43203-2079",,,,,,,1654 E Broad St,"Columbus, OH 43203-2079",,Danis Realty Company Inc.,,,$6.12 - 7.48 (Est.),,,,,,,,,,1654 E Broad St,"Columbus, OH 43203-2079",,Danis Realty Company Inc.,,Industrial,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,2,2021,5,39994.18,Multi,
2475 Scioto Harper,Seidel Delivery,Industrial,Existing,Northwest,Downtown West,Columbus,OH,43204,Franklin,1987,1,,12,1.48,8100,,,,,0,,-,100,,2021 Tax @ $2.18/sf,2021 Tax @ $2.18/sf,,,,,,,,,,Legacy Maintenance Services LLC,Fenced Lot,,"24'0""",,"3/9'0""w x 14'0""h",,,,Masonry,,,,,,496250,,,,2.06,39.967407,-83.067767,2475 Scioto Harper,"Columbus, OH 43204    ",Michael Scott,6144738400,,,,,2475 Scioto Harper Dr,"Columbus, OH 43204    ",,Lms Real Estate Partners Llc,,,$6.45 - 7.89 (Est.),,,,,,,,,,2475 Scioto Harper,"Columbus, OH 43204    ",Michael Scott,Legacy Maintenance Services LLC,6144738400,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,3/6/19 0:00,434300,,,2,2021,2.18,17687.58,Multi,
2420 Scioto Harper Rd,,Industrial,Existing,Northwest,Downtown West,Columbus,OH,43204,Franklin,1990,1,,16,2.04,7849,,,,,0,,-,100,,2021 Tax @ $1.59/sf,2021 Tax @ $1.59/sf,,,,,,,,,,Plsco Ltd,,,,1,"2/8'0""w x 10'0""h",,,,Masonry,,,,,,6966432,,,,1.509986,39.9679325,-83.0665994,2420 Scioto Harper Dr,"Columbus, OH 43204    ",,,,,,,2420 Scioto Harper Dr,"Columbus, OH 43204    ",,Plsco Ltd,,,$6.31 - 7.72 (Est.),,,,,,,,,,,,,,,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,2,2021,1.59,12455.48,Single,
28196 Scippo Creek Dr,,Industrial,Existing,Pickaway County,Pickaway County,Circleville,OH,43113,Pickaway,1989,1,,,,6900,,,,,0,,-,100,,2021 Tax @ $0.63/sf,2021 Tax @ $0.63/sf,,,NAI Ohio Equities LLC,"Columbus, OH 43215",6146295282,6142245436,Ryan McGreevy,,,PICKLESIMER J SCOTT & NANCY J,,,,1,1,,,,Reinforced Concrete,,,,,,8342046,,,,0.79,39.5203364,-82.9698339,18021 Florence Chapel Pike,"Circleville, OH 43113",Scott Picklesimer,7404778920,,,,,,,,Poor Yorick Inc,,,$4.45 - 5.21 (Est.),,,,,,,,,,18021 Florence Chapel Pike,"Circleville, OH 43113",Scott Picklesimer,PICKLESIMER J SCOTT & NANCY J,7404778920,,,B,Areas with a 1% annual chance of flooding and a 26% chance of flooding over the life of a 30-year mortgage.,High Risk Areas,100-year Floodplain,,,3/22/13 0:00,100000,605 S Front St Suite # 200,Ryan McGreevy,1,2021,0.63,4333.48,Single,
67 Shackelford Rd,,Industrial,Existing,Licking County,Licking County,Pataskala,OH,43062,Licking,1991,1,,4,,7935,,,,,0,,-,100,1350,2021 Tax @ $1.32/sf,2021 Tax @ $1.32/sf,,,,,,,,,,Elite Holdings Company Llc,,200a,"18'0""",,"1/12'0""w x 14'0""h",,None,,Masonry,,,,Well,Yes,6719238,,,,2.8,40.0478449,-82.6636162,71 Shackelford Rd,"Pataskala, OH 43062-9198",,,,,,,71 Shackelford Rd,"Pataskala, OH 43062-9198",,Elite Holdings Company Llc,,,$7.29 - 8.18 (Est.),,,,,,,,,,,,,,,M-1,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,10/30/15 0:00,450000,,,2,2021,1.32,10472.26,Single,
6490 Shier Rings Rd,,Flex,Existing,Northwest,Dublin,Dublin,OH,43016-6907,Franklin,2002,1,,12,1.75,8000,,,,,0,,-,100,500,2021 Tax @ $9.96/sf,2021 Tax @ $9.96/sf,,,Kohr Royer Griffith Inc.,"Columbus, OH 43215-1010",6142554375,6142286980,Paul Bloomfield,"Allegiance Property Group, LLC",DBS Companies,"Allegiance Property Group, LLC",,,"14'0""",,"5/8'0""w x 10'0""h",,,,Metal,,,,,,686528,,,,7,40.095497,-83.163422,3360 Tremont Rd Suite # 210,"Upper Arlington, OH 43221-2111",,6148891003,3360 Tremont Rd Suite # 210,"Upper Arlington, OH 43221-2111",,6148891003,6223 Avery Rd,"Dublin, OH 43016    ",,33 Dublin Industrial Park Ll,,,$9.25 - 11.30 (Est.),,,,,,,,,,3360 Tremont Rd Suite # 210,"Upper Arlington, OH 43221-2111",,"Allegiance Property Group, LLC",6148891003,,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,1480 Dublin Rd,Paul Bloomfield,3,2021,9.96,79702.72,Multi,
563 Short St,,Industrial,Existing,Southeast,Downtown South,Columbus,OH,43215,Franklin,1996,1,,10,1.31,7643,,,,,0,,-,100,,2021 Tax @ $1.63/sf,2021 Tax @ $1.63/sf,,,Best Corporate Real Estate,"Columbus, OH 43220    ",6145593350,6145593390,Randy Best,,,City of Columbus,Fenced Lot,,,,"3/10'0""w x 13'0""h",,,,Masonry,,,,,,6568587,,,,0.99,39.949558,-83.003636,,,,6146457380,,,,,,,,City of Columbus,6146457380,,$7.06 - 8.63 (Est.),,,,,,,,,,,,,,,Commercial,,C,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,100-year Floodplain,,,4/14/21 0:00,,4608 Sawmill Rd,Randy Best,2,2021,1.63,12429.12,Multi,
1000 Shuster Ln,,Industrial,Existing,Northwest,Grandview,Columbus,OH,43214-1985,Franklin,1978,1,,10,1.59,7531,,,,,0,,-,100,,2021 Tax @ $2.03/sf,2021 Tax @ $2.03/sf,,,,,,,,,,William S. Weiss,,,"24'0""",,"1/12'0""w x 14'0""h",,,,Masonry,,,,,,612919,,,,0.768,40.061376,-83.04527,4855 Calloway Ct,"Dublin, OH 43017",William Weiss,6147899013,,,,,4855 Calloway Ct,"Dublin, OH 43017",,William S. Weiss,6147899013,,$8.39 - 10.26 (Est.),,,,,,,,,,4855 Calloway Ct,"Dublin, OH 43017",William Weiss,William S. Weiss,6147899013,"I, Columbus",,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,9/5/00 0:00,522500,,,2,2021,2.03,15300.56,Single,
4790 Shuster Rd,,Industrial,Existing,Northwest,Grandview,Columbus,OH,43214-1935,Franklin,1979,1,,30,2.68,7465,,,,,0,,-,100,,2021 Tax @ $2.83/sf,2021 Tax @ $2.83/sf,,,,,,,,,,Lincoln Construction,Signage,,,,"1/10'0""w x 12'0""h",,,,Masonry,,,,,,7684198,,,,1.079982,40.06163,-83.045492,4790 Schuster Rd,"Columbus, OH 43214    ",Kurt Schmitt,6144576015,,,,,4790 Shuster Rd,"Columbus, OH 43214-1935",,Schmitt Family Properties Llc,,,$8.25 - 10.08 (Est.),,,,,,,,,,4790 Schuster Rd,"Columbus, OH 43214    ",Kurt Schmitt,Lincoln Construction,6144576015,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,1,2021,2.83,21144.24,Single,
507 Slocum St,,Industrial,Existing,Fairfield County,Fairfield County,Lancaster,OH,43130,Fairfield,1999,1,,8,1.21,6625,,,,,0,,-,100,,2021 Tax @ $0.27/sf,2021 Tax @ $0.27/sf,,,,"Lancaster, OH 43130    ",,,,,,Hot2trott Llc,"24 Hour Access, Floor Drains, Mezzanine, Air Conditioning",3p,"18'0""",,"2/16'0""w x 16'0""h",,,,Wood Frame,,Gas,City,City,Natural,7530065,,,,0.11,39.719602,-82.613185,2008 Beverly Rd,"Columbus, OH 43221-4208",,,,,,,2008 Beverly Rd,"Columbus, OH 43221-4208",,Hot2trott Llc,,,$4.96 (Est.),,,,,,,,,,,,,,,Commercial- IL,,B,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,100-year Floodplain,,,9/24/21 0:00,127070,310 Scott Dr,,1,2021,0.27,1792.56,Multi,
711 Southwood Ave,TechSouth Building F,Industrial,Existing,Southeast,Downtown South,Columbus,OH,43207,Franklin,1997,1,,40,4.76,8400,,,,,0,,-,100,,2021 Tax @ $6.53/sf,2021 Tax @ $6.53/sf,,,,,,,,,,Kenneth Taggart,Fenced Lot,,"16'0""",,"2/10'0""w x 14'0""h",,None,,Metal,,Gas,,,Yes,1515433,,,TechSouth,6.3,39.931445,-82.973347,393 Brookside Dr,"Columbus, OH 43209-2006",Kenneth Taggart,5137260179,,,,,393 Brookside Dr,"Columbus, OH 43209-2006",,Upgrade Equity Llc,,,$4.39 - 5.37 (Est.),,,,,,,,,,393 Brookside Dr,"Columbus, OH 43209-2006",Kenneth Taggart,Kenneth Taggart,5137260179,"LM, M, R2",,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,11/25/13 0:00,200000,,,2,2021,6.53,54816.06,Single,
434 W Spring St,,Industrial,Demolished,Downtown,Downtown,Columbus,OH,43215,Franklin,1949,1,,4,,8485,,,,,0,,-,,,,,,,NAI Ohio Equities LLC,"Columbus, OH 43215",6146295216,6142245436,Dan Sheeran,,,425 West Nationwide Boulevard,Fenced Lot,,,,"2/8'0""w x 10'0""h",,,,Masonry,,,,,,6477296,,,,0.411846,39.966294,-83.013197,434 W Spring St,"Columbus, OH 43215    ",,,,,,,434 W Spring St,"Columbus, OH 43215    ",,425 West Nationwide Boulevard,,,Not Disclosed,,,,,,,,,,,,,,,,,C,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,100-year Floodplain,,,,,605 S Front St Suite # 200,Dan Sheeran,2,,,,Single,
16645 Square Dr,,Flex,Existing,Union County,Union County,Marysville,OH,43040,Union,1980,1,,12,1.82,7595,,,,,0,,-,100,,2021 Tax @ $1.14/sf,2021 Tax @ $1.14/sf,,,,,,,,,,Living The Solution Llc,,,,,"2/12'0""w x 15'0""h",,,,Metal,,,,,,8182042,,,,1.455,40.2421317,-83.3481807,11505 Rittenhouse Rd,"Marysville, OH 43040-9417",,,,,,,11505 Rittenhouse Rd,"Marysville, OH 43040-9417",,Living The Solution Llc,,,$9.57 - 10.14 (Est.),,,,,,,,,,,,,,,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,8/17/22 0:00,,,,2,2021,1.14,8643.2,Single,
16920 Square Dr,,Flex,Existing,Union County,Union County,Marysville,OH,43040,Union,1995,1,,16,1.88,8500,,,,,0,,-,100,3500,2021 Tax @ $1.51/sf,2021 Tax @ $1.51/sf,,,Schaub Investments Llc,"Marysville, OH 43040",9376420048,,Colleen Schaub,,,Schaub Investments Llc,Signage,,,1,"1/8'0""w x 10'0""h",,,,Masonry,,,,,,7703808,,,,1.1,40.244215,-83.346626,16920 Square Dr,"Marysville, OH 43040",Colleen Schaub,9376420048,,,,,16920 Square Dr,"Marysville, OH 43040",,Schaub Investments Llc,9376420048,,$6.50 - 7.94 (Est.),,,,,,,,,,16920 Square Dr,"Marysville, OH 43040",Colleen Schaub,Schaub Investments Llc,9376420048,M2 – Heavy Manufacturing,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,3/7/11 0:00,457500,16920 Square Dr,Colleen Schaub,2,2021,1.51,12872.38,Multi,
7280 Stahl Rd,,Industrial,Existing,Southwest,SW Columbus,Orient,OH,43146-9196,Franklin,1950,1,2015,,0,8300,,,,,0,,-,100,,2021 Tax @ $0.76/sf,2021 Tax @ $0.76/sf,,,,,,,,,,GRaas Corp,"Fenced Lot, Yard, Storage Space, Car Charging Station",3p,"18'0""",1,4,,,,Masonry,,Yes,Yes,Yes,,12367333,,,,1.86,39.816155,-83.14592,54 S Commerce Way Suite # 180,"Bethlehem, PA 18017-8914",Gilbert Figueroa,4842210647,,,,,,,,GRAAS Ohio Holdings,,,$8.24 - 10.07 (Est.),,,,,,,,,,54 S Commerce Way Suite # 180,"Bethlehem, PA 18017-8914",Gilbert Figueroa,GRaas Corp,4842210647,C,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,11/24/21 0:00,765000,,,2,2021,0.76,6268.46,Single,
467 E Starr Ave,,Industrial,Existing,Northeast,N Central Columbus,Columbus,OH,43201-3619,Franklin,1998,1,,43,6.76,6504,,,,,0,,-,100,2400,2021 Tax @ $9.70/sf,2021 Tax @ $9.70/sf,,,Colliers,"Columbus, OH 43215",6144105654,6144369700,Joel Yakovac,,,Rogue Fitness Alpha,"Fenced Lot, Air Conditioning",,"13'0""",,"2/9'0""w x 12'0""h",,,,Reinforced Concrete,,Gas,City,City,,504028,,,Starr Ave Business Center,4.24,39.982534,-82.992024,1080 Steelwood Rd Suite # E,"Columbus, OH 43212-1360",,6143586190,,,,,545 E 5th Ave,"Columbus, OH 43201-2964",,5cl Properties Llc,,,$8.05 - 9.84 (Est.),,,,,,,,,,1080 Steelwood Rd Suite # E,"Columbus, OH 43212-1360",,Rogue Fitness Alpha,6143586190,M,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,10/31/17 0:00,298780,2 Miranova Pl Suite # 900,Joel Yakovac,1,2021,9.7,63069.76,Multi,
471-479 E Starr Ave,,Flex,Existing,Northeast,N Central Columbus,Columbus,OH,43201-3619,Franklin,1971,1,2023,28,0.51,8000,,,,,0,,-,100,,2021 Tax @ $0.74/sf,2021 Tax @ $0.74/sf,,Negotiable,,,,,,,,Forty North,,,"14'0""",,"4/9'0""w x 12'0""h",,,,Masonry,,,,,,739653,,,,,39.982522,-82.991707,479 E Starr Ave,"Columbus, OH 43201-3619",Jeff Tyndall,6143000729,,,,,,,,JJ Business LLC,,,$8.84 - 10.80 (Est.),,,,,,,,,,479 E Starr Ave,"Columbus, OH 43201-3619",Jeff Tyndall,Forty North,6143000729,480,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,9/27/22 0:00,700000,,,3,2021,0.74,5945.3,Multi,
500-506 E Starr Ave,,Industrial,Existing,Northeast,N Central Columbus,Columbus,OH,43201-3618,Franklin,1998,1,,12,1.43,8400,,,,,0,,-,100,,2021 Tax @ $2.68/sf,2021 Tax @ $2.68/sf,,,Colliers,"Columbus, OH 43215",6144105654,6144369700,Joel Yakovac,RJB Partners,,Rogue Fitness Alpha,,3p,"15'0""",,"3/9'0""w x 11'0""h",,,,Reinforced Concrete,,Gas,,,Natural,504032,,,Starr Ave Business Center,1.41,39.983027,-82.99063,1080 Steelwood Rd Suite # E,"Columbus, OH 43212-1360",,6143586190,467 E Starr Ave,"Columbus, OH 43201-3619",,,545 E 5th Ave,"Columbus, OH 43201-2964",,5cl Properties Llc,,,$6.36 - 7.78 (Est.),,,,,,,,,,1080 Steelwood Rd Suite # E,"Columbus, OH 43212-1360",,Rogue Fitness Alpha,6143586190,M,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,10/31/17 0:00,298286,2 Miranova Pl Suite # 900,Joel Yakovac,2,2021,2.68,22473.04,Multi,
532-540 E Starr Ave,,Industrial,Existing,Northeast,N Central Columbus,Columbus,OH,43201-3618,Franklin,1998,1,,12,1.75,6850,,,,,0,,-,100,,2021 Tax @ $3.28/sf,2021 Tax @ $3.28/sf,,,Colliers,"Columbus, OH 43215",6144105654,6144369700,Joel Yakovac,RJB Partners,,Rogue Fitness Alpha,,3p,"15'0""",,"4/9'0""w x 11'0""h",,,,Reinforced Concrete,,Gas,City,City,,504044,,,Starr Ave Business Center,1.41,39.982987,-82.989756,1080 Steelwood Rd Suite # E,"Columbus, OH 43212-1360",,6143586190,467 E Starr Ave,"Columbus, OH 43201-3619",,,545 E 5th Ave,"Columbus, OH 43201-2964",,5cl Properties Llc,,,$6.96 - 8.50 (Est.),,,,,,,,,,1080 Steelwood Rd Suite # E,"Columbus, OH 43212-1360",,Rogue Fitness Alpha,6143586190,M,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,10/31/17 0:00,243248,2 Miranova Pl Suite # 900,Joel Yakovac,1,2021,3.28,22473.04,Multi,
1010 E Starr Ave,,Industrial,Existing,Northeast,N Central Columbus,Columbus,OH,43201,Franklin,,1,,7,0.88,7948,,,,,0,,-,100,,2021 Tax @ $0.94/sf,2021 Tax @ $0.94/sf,,,,,,,,,,Silt Fence Const Contractors L,,,,1,"1/9'0""w x 13'0""h",,,,Masonry,,,,,,7331465,,,,,39.9824308,-82.9769003,319 Galloway Ridge Dr,"Galloway, OH 43119-9690",Gary Conway,6146793597,,,,,319 Galloway Ridge Dr,"Galloway, OH 43119-9690",,Silt Fence Const Contractors L,6146793597,,$6.34 - 7.75 (Est.),,,,,,,,,,319 Galloway Ridge Dr,"Galloway, OH 43119-9690",Gary Conway,Silt Fence Const Contractors L,6146793597,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,2/29/16 0:00,250000,,,1,2021,0.94,7468.92,Multi,
18987 State Route 347,,Industrial,Existing,Union County,Union County,Broadway,OH,43007-9997,Union,1950,,2006,,,7206,,,,,0,,-,100,1230,2021 Tax @ $1.62/sf,2021 Tax @ $1.62/sf,,,,,,,,,,Ljackson Teresa Living Trust,,,,,,,None,,,,Electric,,,,9403801,,,,6.23,40.3406918,-83.4150285,,,,,,,,,,,,Ljackson Teresa Living Trust,,,$8.31 - 8.40 (Est.),,,,,,,,,,,,,,,Commercial,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,11/30/17 0:00,225000,,,1,2021,1.62,11705.72,,
