current_occupant,business_name,tradestyle_name,duns,subject_address_full,website,phone,naics_code,naics_description,sic_code,sic_description,employees_at_location,year_started,type_of_location,company_address_line_1,company_address_city,company_address_state,company_address_postal_code,subject_address_line_1,subject_address_city,subject_address_state,subject_address_postal_code,reonomy_property_id,apn,longitude,latitude
Avure Technologies Incorporated,Avure Technologies Incorporated,,079220847,"8220 GREEN MEADOWS DR N, LEWIS CENTER, OH 43035",www.jbtc.com,6148912732,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",38239905,Industrial process control instruments,16,,Branch,8270 Green Meadows Dr N,Lewis Center,OH,43035,8220 Green Meadows Dr N,Lewis Center,OH,43035,601227de-a028-503d-ab21-92a804b350ab,318-312-03-006-000,-83.010989,40.166722
"Quintus Technologies, LLC","Quintus Technologies, LLC",,079563475,"8220 GREEN MEADOWS DR N, LEWIS CENTER, OH 43035",www.quintustechnologies.com,6148912732,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,76990500,Industrial equipment services,136,2014,Single Location,8270 Green Meadows Dr N,Lewis Center,OH,43035,8220 Green Meadows Dr N,Lewis Center,OH,43035,601227de-a028-503d-ab21-92a804b350ab,318-312-03-006-000,-83.010989,40.166722
Lear Corporation,Lear Corporation,Renosol Seating,002326721,"180 N HIGH ST, HEBRON, OH 43025",www.lear.com,7409284358,336390,Other Motor Vehicle Parts Manufacturing,37140000,Motor vehicle parts and accessories,45,,Branch,180 N High St,Hebron,OH,43025,180 N High St,Hebron,OH,43025,ae39dfaa-c037-5920-9932-abdb66f8aead,075-345324-00.007,-82.488736,39.968431
"Interior Installations, Inc","Interior Installations, Inc",,014861350,"1360 BOLTONFIELD ST, COLUMBUS, OH 43228",www.interiorinstallationsinc.com,6144680135,238990,All Other Specialty Trade Contractors,17990607,Office furniture installation,23,1995,Single Location,1400 Boltonfield St,Columbus,OH,43228,1360 Boltonfield St,Columbus,OH,43228,1adec2c3-ffcb-5956-86ab-b099bdf9aaf6,570-109417,-83.128437,39.923879
"Vallen Distribution, Inc.","Vallen Distribution, Inc.",CAM Bar,134900260,"1360 BOLTONFIELD ST, COLUMBUS, OH 43228",www.vallen.com,,493110,General Warehousing and Storage,42250000,General warehousing and storage,8,,Branch,1360 Boltonfield St,Columbus,OH,43228,1360 Boltonfield St,Columbus,OH,43228,1adec2c3-ffcb-5956-86ab-b099bdf9aaf6,570-109417,-83.128185,39.924146
"Precision Installation, Inc.","Precision Installation, Inc.",,118765488,"1360 BOLTONFIELD ST, COLUMBUS, OH 43228",www.precisioninstallation.com,4809689481,238990,All Other Specialty Trade Contractors,17990607,Office furniture installation,6,,Branch,1360 Boltonfield St,Columbus,OH,43228,1360 Boltonfield St,Columbus,OH,43228,1adec2c3-ffcb-5956-86ab-b099bdf9aaf6,570-109417,-83.128185,39.924146
"Premier Packaging, LLC","Premier Packaging, LLC",,038142531,"1360 BOLTONFIELD ST, COLUMBUS, OH 43228",www.prempack.com,,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,51999918,Packaging materials,6,,Branch,1400 Boltonfield St,Columbus,OH,43228,1360 Boltonfield St,Columbus,OH,43228,1adec2c3-ffcb-5956-86ab-b099bdf9aaf6,570-109417,-83.128437,39.923879
Buckeye Surfaces,Buckeye Surfaces,,116189441,"1360 BOLTONFIELD ST, COLUMBUS, OH 43228",,,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",50310000,"Lumber, plywood, and millwork",2,2018,Single Location,1400 Boltonfield St,Columbus,OH,43228,1360 Boltonfield St,Columbus,OH,43228,1adec2c3-ffcb-5956-86ab-b099bdf9aaf6,570-109417,-83.128437,39.923879
Allied Tube & Conduit Corporation,Allied Tube & Conduit Corporation,,136103616,"250 CAPITAL DR, HEBRON, OH 43025",www.alliedeg.us,7409281018,335932,Noncurrent-Carrying Wiring Device Manufacturing,36440200,Electric conduits and fittings,11,,Branch,250 Capital Dr,Hebron,OH,43025,250 Capital Dr,Hebron,OH,43025,97eaa3e2-491d-5d44-8e82-332b3599b5f0,075-330174-00.000,-82.475408,39.968054
"Agiliti Health, Inc.","Agiliti Health, Inc.",,025767776,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.uhs.com,,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",50470300,Medical equipment and supplies,2,,Branch,2152 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916513,40.014512
"Patterson Dental Supply, Inc.","Patterson Dental Supply, Inc.",Patterson Dental 636,621141142,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.pattersondental.com,6144736000,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",50470200,Dental equipment and supplies,10,,Branch,2128 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916451,40.015248
"Cox Interior, Inc.","Cox Interior, Inc.",Cox's Interior Supply,837913367,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.coxinterior.com,6144739169,321918,Other Millwork (including Flooring),24310000,Millwork,8,,Branch,2220 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.91793,40.014912
Signature Control Systems LLC,Signature Control Systems LLC,Signature Controls,161256193,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.signaturecontrols.com,6148642222,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",50630303,"Control and signal wire and cable, including coaxial",50,1987,Single Location,2228 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917912,40.015168
Mlg Arena,Mlg Arena,,074886869,"2120 CITYGATE DR, COLUMBUS, OH 43219",,,512110,Motion Picture and Video Production,78120000,Motion picture and video production,2,2014,Single Location,2188 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917647,40.014098
Tiba LLC,Tiba LLC,Signature Control Systems,080558407,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.tibaparking.com,6143282040,333248,All Other Industrial Machinery Manufacturing,35599921,Parking facility equipment and supplies,30,2017,HQ,2228 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917912,40.015168
"Zulily, Inc","Zulily, Inc",,080261122,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.zulily.com,6145092868,459999,All Other Miscellaneous Retailers,59610000,Catalog and mail-order houses,5,2011,Single Location,2228 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917912,40.015168
Major League Gaming Corp.,Major League Gaming Corp.,,081132935,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.mlg.com,6148068110,541830,Media Buying Agencies,73199902,Media buying service,3,,Branch,2188 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917647,40.014098
Shige Investment Group LLC,Shige Investment Group LLC,,089781258,"2120 CITYGATE DR, COLUMBUS, OH 43219",,,523910,Miscellaneous Intermediation,67990000,"Investors, nec",2,2020,Single Location,2184 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917438,40.014085
Fastenal Company,Fastenal Company,Fastenal Ohco3,118870676,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.fastenal.com,6144768704,423840,Industrial Supplies Merchant Wholesalers,50850401,"Fasteners, industrial: nuts, bolts, screws, etc.",2,,Branch,2216 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,,
Gyrotonic Columbus North LLC,Gyrotonic Columbus North LLC,,090101037,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.gyrotoniccolumbusnorth.com,,713940,Fitness and Recreational Sports Centers,79910000,Physical fitness facilities,2,2021,Single Location,2184 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917438,40.014085
Gannett Media Corp.,Gannett Media Corp.,U S A Today,015869546,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.gannett.com,,513110,Newspaper Publishers,27110100,"Newspapers, publishing and printing",70,,Branch,2140 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916509,40.014854
Acree Daily Integrated Sy,Acree Daily Integrated Sy,,045429970,"2120 CITYGATE DR, COLUMBUS, OH 43219",,,513110,Newspaper Publishers,27110100,"Newspapers, publishing and printing",6,2013,Single Location,2128 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916451,40.015248
G J Lounge,G J Lounge,,040066829,"2120 CITYGATE DR, COLUMBUS, OH 43219",,6142841155,722410,Drinking Places (Alcoholic Beverages),58130103,Cocktail lounge,3,2019,Single Location,2120 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917139,40.014779
Apria Healthcare LLC,Apria Healthcare LLC,,117546904,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.apria.com,6143515920,621610,Home Health Care Services,80820000,Home health care services,7,,Branch,2124 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916444,40.015413
"Renier Services, Inc.","Renier Services, Inc.",,832626001,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.renier.com,6148664580,238120,Structural Steel and Precast Concrete Contractors,17910000,Structural steel erection,10,2009,Single Location,2164 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916543,40.014025
Jefferys Family Office Th,Jefferys Family Office Th,,022761767,"2120 CITYGATE DR, COLUMBUS, OH 43219",,6149062587,561499,All Other Business Support Services,73890000,"Business services, nec",1,2018,Single Location,2144 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916509,40.014789
Renier Construction Corporation,Renier Construction Corporation,,097547038,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.renier.com,6148664580,236220,Commercial and Institutional Building Construction,15420101,"Commercial and office building, new construction",34,1980,Single Location,2164 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916543,40.014025
Sahra Transport LLC,Sahra Transport LLC,,090451905,"2120 CITYGATE DR, COLUMBUS, OH 43219",,,488999,All Other Support Activities for Transportation,47890000,"Transportation services, nec",2,2020,Single Location,2184 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917438,40.014085
Creativedrive,Creativedrive,,035483717,"2120 CITYGATE DR, COLUMBUS, OH 43219",,6144980822,541921,"Photography Studios, Portrait",72210000,"Photographic studios, portrait",1,2019,Single Location,2152 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916513,40.014512
"Ortal Usa, Inc.","Ortal Usa, Inc.",,041586655,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.ortalheat.com,8187727211,449129,All Other Home Furnishings Retailers,57190301,Fireplace equipment and accessories,10,2021,Single Location,2152 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916513,40.014512
Mammoth Inc,Mammoth Inc,Mammoth Restoration,180049991,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.mammothrestoration.com,8884955211,236220,Commercial and Institutional Building Construction,15420101,"Commercial and office building, new construction",12,1981,Single Location,2212 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917972,40.014658
Renier Leasing Company,Renier Leasing Company,,927890921,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.renier.com,,532111,Passenger Car Rental,75140000,Passenger car rental,20,1995,Single Location,2164 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.91715,40.013685
Hampton Inn Columbus East,Hampton Inn Columbus East,Hampton By Hilton,020660863,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.hilton.com,6144187250,721110,Hotels (except Casino Hotels) and Motels,70110000,Hotels and motels,2,2011,Single Location,2168 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.916747,40.014056
"Ksc Studio, L.L.C.","Ksc Studio, L.L.C.",,043113540,"2120 CITYGATE DR, COLUMBUS, OH 43219",,9255802623,812990,All Other Personal Services,72999901,Apartment locating service,3,,Branch,2236 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917889,40.015471
"Durr Megtec, LLC","Durr Megtec, LLC",Solvent Recovery Division,941581139,"2120 CITYGATE DR, COLUMBUS, OH 43219",www.durr-megtec.com,6143404154,324110,Petroleum Refineries,29110206,Solvents,7,,Branch,2120 Citygate Dr,Columbus,OH,43219,2120 Citygate Dr,Columbus,OH,43219,afea5aa9-051f-5c9d-b96e-0e6e58daa69e,010-265872,-82.917139,40.014779
"Trulite Glass & Aluminum Solutions, LLC","Trulite Glass & Aluminum Solutions, LLC",,013043000,"160 N HIGH ST, HEBRON, OH 43025",www.trulite.com,,327211,Flat Glass Manufacturing,32110202,Tempered glass,54,,Branch,160 N High St,Hebron,OH,43025,160 N High St,Hebron,OH,43025,a7585fd3-5a1a-5c32-aaa7-6728c196f53c,075-345324-00.000,-82.488973,39.967362
The American National Red Cross,The American National Red Cross,American Nat Red Cross - Blood,963972091,"4321 EQUITY DR, COLUMBUS, OH 43228",www.redcross.org,6143340425,624190,Other Individual and Family Services,83220610,Social service center,56,,Branch,4327 Equity Dr,Columbus,OH,43228,4321 Equity Dr,Columbus,OH,43228,46128bfe-eceb-5da6-bbe7-4b7bf363b0ed,560-184535,-83.119679,39.986625
"Tpusa, Inc.","Tpusa, Inc.",Teleperformance USA,623590606,"4321 EQUITY DR, COLUMBUS, OH 43228",www.teleperformance.com,6146215512,561422,Telemarketing Bureaus and Other Contact Centers,73891005,Telemarketing services,648,,Branch,4335 Equity Dr,Columbus,OH,43228,4321 Equity Dr,Columbus,OH,43228,46128bfe-eceb-5da6-bbe7-4b7bf363b0ed,560-184535,-83.119628,39.987691
"Kin Custom, Inc.","Kin Custom, Inc.",Kin Custom,099524041,"4321 EQUITY DR, COLUMBUS, OH 43228",www.kincustom.com,6149715117,541490,Other Specialized Design Services,73890409,"Styling of fashions, apparel, furniture, textiles, etc.",14,2018,Single Location,4341 Equity Dr,Columbus,OH,43228,4321 Equity Dr,Columbus,OH,43228,46128bfe-eceb-5da6-bbe7-4b7bf363b0ed,560-184535,-83.120179,39.987961
Valex LLC,Valex LLC,,086344106,"4321 EQUITY DR, COLUMBUS, OH 43228",www.valexsands.com,4126101139,541512,Computer Systems Design Services,73730100,Systems software development services,5,2015,Single Location,4331 Equity Dr,Columbus,OH,43228,4321 Equity Dr,Columbus,OH,43228,46128bfe-eceb-5da6-bbe7-4b7bf363b0ed,560-184535,-83.119668,39.98698
"Floyd Bell, Inc.","Floyd Bell, Inc.",,059937128,"710 DEARBORN PARK LN, COLUMBUS, OH 43085",www.floydbell.com,6142944000,334290,Other Communications Equipment Manufacturing,36690100,Emergency alarms,50,1971,HQ,720 Dearborn Park Ln,Columbus,OH,43085,710 Dearborn Park Ln,Columbus,OH,43085,5ddd0574-d20c-59cd-a16c-3ca3944e61b5,610-207087,-82.998062,40.116812
"Lansing Building Products, LLC","Lansing Building Products, LLC",,603457842,"710 DEARBORN PARK LN, COLUMBUS, OH 43085",www.lansingbp.com,6147819450,444180,Other Building Material Dealers,52110000,Lumber and other building materials,6,,Branch,710 Dearborn Park Ln,Columbus,OH,43085,710 Dearborn Park Ln,Columbus,OH,43085,5ddd0574-d20c-59cd-a16c-3ca3944e61b5,610-207087,-82.997137,40.117033
"Safelite Fulfillment, Inc.","Safelite Fulfillment, Inc.",Safelite Autoglass,026381710,"710 DEARBORN PARK LN, COLUMBUS, OH 43085",www.safelite.com,6147815449,811122,Automotive Glass Replacement Shops,75360000,Automotive glass replacement shops,19,,Branch,760 Dearborn Park Ln,Columbus,OH,43085,710 Dearborn Park Ln,Columbus,OH,43085,5ddd0574-d20c-59cd-a16c-3ca3944e61b5,610-207087,-82.996226,40.11673
Dal-Tile Corporation,Dal-Tile Corporation,Daltile Sales Service Center,619236086,"710 DEARBORN PARK LN, COLUMBUS, OH 43085",locations.daltile.com,6144339181,238340,Tile and Terrazzo Contractors,17439904,"Tile installation, ceramic",9,,Branch,730 Dearborn Park Ln,Columbus,OH,43085,710 Dearborn Park Ln,Columbus,OH,43085,5ddd0574-d20c-59cd-a16c-3ca3944e61b5,610-207087,-82.997401,40.116785
Screen Machine Industries LLC,Screen Machine Industries LLC,Screen Machine,013042470,"10685 COLUMBUS PKWY, PATASKALA, OH 43062",www.screenmachine.com,7409273464,323111,Commercial Printing (except Screen and Books),27520100,Offset and photolithographic printing,4,2013,Single Location,10685 Columbus Pkwy,Pataskala,OH,43062,10685 Columbus Pkwy,Pataskala,OH,43062,146013ad-0dd9-58cf-a579-11a919cb0ef8,010-018048-00.001,-82.691632,39.947812
"SMI Holdings, Inc.","SMI Holdings, Inc.",Screen Machine,004489159,"10685 COLUMBUS PKWY, PATASKALA, OH 43062",www.screenmachine.com,7409273464,323111,Commercial Printing (except Screen and Books),27520100,Offset and photolithographic printing,100,1966,HQ,10685 Columbus Pkwy,Pataskala,OH,43062,10685 Columbus Pkwy,Pataskala,OH,43062,146013ad-0dd9-58cf-a579-11a919cb0ef8,010-018048-00.001,-82.691632,39.947812
"Contract Building Components, Ltd.","Contract Building Components, Ltd.",C B C,006939362,"14540 INDUSTRIAL PKWY, MARYSVILLE, OH 43040",www.contractbuilding.com,9376440739,321215,Engineered Wood Member Manufacturing,24399904,"Trusses, wooden roof",20,2000,Single Location,14540 Industrial Pkwy,Marysville,OH,43040,14540 Industrial Pkwy,Marysville,OH,43040,65dc184e-0553-510e-91c3-9b497a5cc501,29-0023057-1000,-83.325594,40.216704
"Luvata Ohio, Inc.","Luvata Ohio, Inc.",Luvata,004286043,"1376 PITTSBURGH DR, DELAWARE, OH 43015",www.luvata.com,7403631981,333992,Welding and Soldering Equipment Manufacturing,35489903,"Welding and cutting apparatus and accessories, nec",85,2016,HQ,1376 Pittsburgh Dr,Delaware,OH,43015,1376 Pittsburgh Dr,Delaware,OH,43015,49308fc3-b6a7-5243-9dec-7fc4bcef9d1b,419-220-01-017-002,-83.114877,40.284007
U-Store-It Mini Warehouse Co.,U-Store-It Mini Warehouse Co.,,788658008,"5411 W BROAD ST, COLUMBUS, OH 43228",,6148700221,531130,Lessors of Miniwarehouses and Self-Storage Units,42259903,"Warehousing, self storage",2,,Branch,5411 W Broad St,Columbus,OH,43228,5411 W Broad St,Columbus,OH,43228,7c9e0143-a5fe-504e-841c-3a11bc962f66,570-243347,-83.145198,39.950398
West Broad Mini Storage,West Broad Mini Storage,,162843549,"5411 W BROAD ST, COLUMBUS, OH 43228",,6148700221,531130,Lessors of Miniwarehouses and Self-Storage Units,42259903,"Warehousing, self storage",2,2004,Single Location,5411 W Broad St,Columbus,OH,43228,5411 W Broad St,Columbus,OH,43228,7c9e0143-a5fe-504e-841c-3a11bc962f66,570-243347,-83.145198,39.950398
"Ats Ohio, Inc.","Ats Ohio, Inc.",Automation Tooling Systems,054020458,"425 ENTERPRISE DR, LEWIS CENTER, OH 43035",www.atsautomation.com,6148882344,333912,Air and Gas Compressor Manufacturing,35630202,"Robots for industrial spraying, painting, etc.",125,1974,Single Location,425 Enterprise Dr,Lewis Center,OH,43035,425 Enterprise Dr,Lewis Center,OH,43035,b22cb7a6-0c90-58d3-a92d-3ce9ae307967,318-342-03-004-000,-83.007903,40.152958
PA Solutions Inc,PA Solutions Inc,,096800629,"425 ENTERPRISE DR, LEWIS CENTER, OH 43035",,6147818037,999990,Unclassified Establishments,99992222,"Duns Support Record, nonclassifiable establishment",7,2019,Single Location,425 Enterprise Dr,Lewis Center,OH,43035,425 Enterprise Dr,Lewis Center,OH,43035,b22cb7a6-0c90-58d3-a92d-3ce9ae307967,318-342-03-004-000,-83.007903,40.152958
"Ats Carolina, Inc.","Ats Carolina, Inc.",Automation Tooling Systems,023164450,"425 ENTERPRISE DR, LEWIS CENTER, OH 43035",www.atsautomation.com,8033249300,541512,Computer Systems Design Services,73730200,Systems integration services,63,1997,Single Location,425 Enterprise Dr,Lewis Center,OH,43035,425 Enterprise Dr,Lewis Center,OH,43035,b22cb7a6-0c90-58d3-a92d-3ce9ae307967,318-342-03-004-000,-83.007903,40.152958
"Automation Tooling Systems, Inc","Automation Tooling Systems, Inc",Ats Ohio,622217297,"425 ENTERPRISE DR, LEWIS CENTER, OH 43035",www.atsautomation.com,6147818063,423830,Industrial Machinery and Equipment Merchant Wholesalers,50840000,Industrial machinery and equipment,140,1987,HQ,425 Enterprise Dr,Lewis Center,OH,43035,425 Enterprise Dr,Lewis Center,OH,43035,b22cb7a6-0c90-58d3-a92d-3ce9ae307967,318-342-03-004-000,-83.007903,40.152958
Ats Systems Oregon Inc.,Ats Systems Oregon Inc.,,173280603,"425 ENTERPRISE DR, LEWIS CENTER, OH 43035",www.atsautomation.com,5417380932,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,35699914,"Robots, assembly line: industrial and commercial",270,1996,Single Location,425 Enterprise Dr,Lewis Center,OH,43035,425 Enterprise Dr,Lewis Center,OH,43035,b22cb7a6-0c90-58d3-a92d-3ce9ae307967,318-342-03-004-000,-83.007903,40.152958
Wrkco Inc.,Wrkco Inc.,,080863170,"495 E COSHOCTON ST, JOHNSTOWN, OH 43031",,7409671105,722513,Limited-Service Restaurants,58120600,Pizza restaurants,7,,Branch,495 E Coshocton St,Johnstown,OH,43031,495 E Coshocton St,Johnstown,OH,43031,fc242fde-9087-54bc-acef-54ae34a35641,053-172644-00.004,-82.675753,40.157925
"Nissin International Transport U.S.A., Inc.","Nissin International Transport U.S.A., Inc.",Nissin International Transport,605166842,"16940 SQUARE DR, MARYSVILLE, OH 43040",www.nitusa.com,9376442644,488510,Freight Transportation Arrangement,47310200,Freight forwarding,75,,Branch,16940 Square Dr,Marysville,OH,43040,16940 Square Dr,Marysville,OH,43040,8673ba9d-17bc-52b4-a1df-bd8e103a2842,29-0016008-0000,-83.345647,40.246108
Trancy America Corp.,Trancy America Corp.,,020290473,"16940 SQUARE DR, MARYSVILLE, OH 43040",www.trancyamerica.com,9372099137,488999,All Other Support Activities for Transportation,47890000,"Transportation services, nec",2,2018,Single Location,16940 Square Dr,Marysville,OH,43040,16940 Square Dr,Marysville,OH,43040,8673ba9d-17bc-52b4-a1df-bd8e103a2842,29-0016008-0000,-83.345647,40.246108
Briskheat Corporation,Briskheat Corporation,,004291498,"4800 HILTON CORPORATE DR, COLUMBUS, OH 43232",www.briskheat.com,6142943376,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,35850000,Refrigeration and heating equipment,159,2019,HQ,4800 Hilton Corporate Dr,Columbus,OH,43232,4800 Hilton Corporate Dr,Columbus,OH,43232,6c053523-a139-58de-9b0b-9ecb706e08b8,010-206956,-82.867292,39.934509
Romick Properties Limited Partnership,Romick Properties Limited Partnership,,085449105,"4800 HILTON CORPORATE DR, COLUMBUS, OH 43232",,,531312,Nonresidential Property Managers,65120000,Nonresidential building operators,2,1994,Single Location,4800 Hilton Corporate Dr,Columbus,OH,43232,4800 Hilton Corporate Dr,Columbus,OH,43232,6c053523-a139-58de-9b0b-9ecb706e08b8,010-206956,-82.867292,39.934509
"Irsg Holdings, LLC","Irsg Holdings, LLC",,062351109,"4800 HILTON CORPORATE DR, COLUMBUS, OH 43232",,4253981875,561499,All Other Business Support Services,73890100,"Personal service agents, brokers, and bureaus",2,2011,Single Location,4800 Hilton Corporate Dr,Columbus,OH,43232,4800 Hilton Corporate Dr,Columbus,OH,43232,6c053523-a139-58de-9b0b-9ecb706e08b8,010-206956,-82.867292,39.934509
Westerville Mini Storage,Westerville Mini Storage,,964113864,"5909 WESTERVILLE RD, WESTERVILLE, OH 43081",www.westervillenorthselfstorage.com,6148828675,531130,Lessors of Miniwarehouses and Self-Storage Units,42259903,"Warehousing, self storage",3,1996,Single Location,5909 Westerville Rd,Westerville,OH,43081,5909 Westerville Rd,Westerville,OH,43081,1ac45e04-c23f-50ee-bcec-4b61dba75b4b,110-005913,-82.926258,40.093813
Stop-N-Go Storage of Delaware LLC,Stop-N-Go Storage of Delaware LLC,,088968007,"5909 WESTERVILLE RD, WESTERVILLE, OH 43081",,,493110,General Warehousing and Storage,42250000,General warehousing and storage,2,2015,Single Location,5909 Westerville Rd,Westerville,OH,43081,5909 Westerville Rd,Westerville,OH,43081,1ac45e04-c23f-50ee-bcec-4b61dba75b4b,110-005913,-82.926258,40.093813
"Sunfield, Inc.","Sunfield, Inc.",,860091040,"116 ENTERPRISE DR, HEBRON, OH 43025",www.sunfieldinc.com,7409280404,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",34699916,Stamping Metal for the trade,70,1993,Single Location,116 Enterprise Dr,Hebron,OH,43025,116 Enterprise Dr,Hebron,OH,43025,69b49e9f-4d7c-5d0b-a5d5-57dde82eec9d,075-344880-01.004,-82.477383,39.968446
U-Store-It Mini Warehouse Co.,U-Store-It Mini Warehouse Co.,,788658081,"5252 NIKE DR, HILLIARD, OH 43026",,6147719916,531130,Lessors of Miniwarehouses and Self-Storage Units,42259903,"Warehousing, self storage",3,,Branch,5252 Nike Dr,Hilliard,OH,43026,5252 Nike Dr,Hilliard,OH,43026,84fec174-841d-53f5-82a6-bfa6984ab2ea,560-160648,-83.149123,39.995594
Hilliard Mini Storage,Hilliard Mini Storage,,928354059,"5252 NIKE DR, HILLIARD, OH 43026",,6147719916,531130,Lessors of Miniwarehouses and Self-Storage Units,42259903,"Warehousing, self storage",6,1995,Single Location,5252 Nike Dr,Hilliard,OH,43026,5252 Nike Dr,Hilliard,OH,43026,84fec174-841d-53f5-82a6-bfa6984ab2ea,560-160648,-83.149123,39.995594
